Manufacturer,Device Name,Model,Distance (m),Orientation,Average (dBm)
APPLE,iPhone X,iPhone X,2,Top,-53.84
SAMSUNG,Galaxy Note 9,SM-N960F,2,Top,-59.64
SAMSUNG,Galaxy S8,SM-G950F,2,Top,-69.13
SAMSUNG,Galaxy S10+,SM-G975F,2,Top,-57.87
SAMSUNG,Galaxy Note 10+,SM-N975F,2,Top,-49.9
APPLE,iPhone 6,iPhone 6,2,Top,-59.06
HUAWEI,Mate 20 Pro,LYA-L29,2,Top,-70.56
SAMSUNG,Galaxy A70,SM-A705MN,2,Top,-61.78
SONY,Xperia XZ1,G8342,2,Top,-59.54
XIAOMI,Mi A1,Mi A1,2,Top,-63.52
GOOGLE,Pixel 3a XL,Pixel 3a XL,2,Top,-58.41
XIAOMI,Pocophone F1,Pocophone F1,2,Top,-55.72
XIAOMI,Mi A2 Lite,Mi A2 Lite,2,Top,-59.45
LG,Nexus 5X,Nexus 5X,2,Top,-67.4
SAMSUNG,Galaxy A10S,SM-A107F,2,Top,-66.57
OPPO,AX5s,CPH1909,2,Top,-57.51
OPPO,Realme 5,RMX1911,2,Top,-66.74
XIAOMI,Mi Max 3,Mi Max 3,2,Top,-55.33
HUAWEI,Nova 5t,YAL-L21,2,Top,-56.79
VIVO,Y19,vivo 1915,2,Top,-59.9
APPLE,iPhone11,A2221,2,Top,-52.36
APPLE,iPhone11,A2222,2,Top,-53.42
APPLE,iPhone11,A2223,2,Top,-52.95
APPLE,iPhone11 Pro,A2218,2,Top,-53.84
APPLE,iPhone11 Pro,A2218,2,Top,-54.81
APPLE,iPhone11 Pro,A2215,2,Top,-55.32
APPLE,iPhone XR,A2105,2,Top,-34.12
APPLE,iPhone XS Max,A2101,2,Top,-53.14
APPLE,iPhone XS,A2097,2,Top,-48.53
APPLE,iPhone SE (2020),A2296,2,Top,-52.63
ZTE,Blade,A462,2,Top,-58.70
HUAWEI,Huawei,G8,2,Top,-57.52
LG,LG,K51S,2,Top,-64.55
OPPO,Oppo,A9,2,Top,-57.75
VODAFONE,VODAFONE,SMART X9,2,Top,-56.57
SAMSUNG,Galaxy S20 Ultra,SM-G988,2,Top,-54.21
SAMSUNG,Galaxy S20,SM-G980,2,Top,-53.50
SAMSUNG,Galaxy S20+,SM-G986,2,Top,-54.20
HUAWEI,Honor 9i,STF-AL00,2,Top,-56.50
SAMSUNG,J7 Prime,SM-G610F,2,Top,-58.70
XIAOMI,Redmi,Note 9S,2,Top,-58.80
ALCATEL,Alcatel 3,5052,2,Top,-59.10
SONY,Xperia XZ2,H8266,2,Top,-58.10
OPPO,A5 (2020),CPH1931,2,Top,-57.53
NOKIA,6.1,TA-1043,2,Top,-54.20
LG,G4,H815,2,Top,-53.50
MOTOROLA,Moto G7 Plus,G7+,2,Top,-54.20
XIAOMI,Redmi 8A,MZB8458IN,2,Top,-56.56
XIAOMI,Redmi,	Note 8,2,Top,-58.00
OPPO,A5s,CPH1920,2,Top,-59.30
VIVO,X27,V1829A,2,Top,-59.40
NOKIA,6.2,TA-1200,2,Top,-64.20
HUAWEI,Nova 5,SEA-AL00,2,Top,-59.30
BLACKBERRY,KEY2,BBF100-1,2,Top,-60.00
SAMSUNG,M10,SM-M107,2,Top,-58.70
SAMSUNG,Note 10+,SM-N976,2,Top,-58.80
SAMSUNG,A40,SM-A405,2,Top,-57.70
SAMSUNG,A20s,SM-A207,2,Top,-54.10
SAMSUNG,A2 Core,SM-260,2,Top,-64.50
XIAOMI,Redmi K20,M1903F10I,2,Top,-58.00
SAMSUNG,A80,SM-A805,2,Top,-53.50
